Depth (m),Gamma Ray (API),Resistivity (Ohm-m),Density (g/cc),Neutron Porosity (frac),Sonic (us/ft)
0.0,67.45071229516849,3.231471085440846,2.4812659167010755,0.23265680060376948,82.48368878387859
0.5,57.92603548243223,3.3345512739786773,2.441536278083369,0.29291866159860636,74.20999096738885
1.0,69.71532807151038,3.3503904259626274,2.517618127296308,0.2682590520151323,90.82446294550729
1.5,82.84544784612038,4.632796100632898,2.3317572313604247,0.2645641832845128,86.58675652326005
2.0,56.48769937914996,3.71398497398336,2.552603665571097,0.2897617124628591,84.92148222598523
2.5,56.487945645762295,5.19771536257603,2.3647020452554632,0.14744737960730725,73.04785497105095
3.0,83.68819223261087,1.9033433565583477,2.418645358761385,0.2655034411937575,81.02706635228876
3.5,71.51152093729362,3.4658033071984327,2.4479541232402466,0.2609284444436858,86.04543199007003
4.0,52.95788421097572,3.1969071018015316,2.442675966463592,0.3334404040650353,82.9655269967887
4.5,68.13840065378947,4.149956268549844,2.500320552001328,0.17357060088681664,74.98945447683113
5.0,53.04873460781307,3.813645944792387,2.3971081690694884,0.3278593316188379,76.74953122345673
5.5,53.01405369644615,5.693659196472243,2.4630383408741534,0.2537704564462333,77.74031930997005
6.0,63.629434073490515,2.5656169307201,2.4210893950890124,0.2744494765330022,76.98281082755696
6.5,31.300796330133032,4.543271934500453,2.464757048966871,0.3337959393804688,87.64389417855153
7.0,34.12623251230451,5.298908876280356,2.446761387010106,0.27803806340027865,70.39493430588372
7.5,51.56568706138541,7.822422044542563,2.454646782634149,0.270018414473128,83.27959569829419
8.0,44.80753319498364,3.8785842718898227,2.422503758376783,0.2621145592901159,73.53848312535774
8.5,64.71370998892911,4.939862917425287,2.424496802495196,0.22582609325028116,75.19374256274466
9.0,46.37963886718184,2.608671693862208,2.4643636257013717,0.24857554377448035,69.95133316565641
9.5,38.81544447997062,2.1867428173870858,2.4971857752878024,0.21422436169386255,77.25472784420568
10.0,81.98473153382331,5.774388207694754,2.420086033290108,0.2477716550287259,87.55365825769607
10.5,56.61335549270196,4.474219449881443,2.406561622771355,0.13320346514724518,81.32412121232389
11.0,61.012923070318855,6.382461301781771,2.480673008283592,0.2714519783783774,74.00819226500451
11.5,38.62877720679815,2.9682695303932705,2.4483748053471155,0.24391313731081873,85.08573837189657
12.0,51.834259132122256,5.2381618345595164,2.491524906699298,0.2331898131666618,86.15652131784343
12.5,61.663838845647994,7.851034858101576,2.404710139331443,0.2609879041970072,80.52023240519543
13.0,42.73509633866546,5.083051054123986,2.3610280537288286,0.17832180385172797,90.17374579076295
13.5,65.63547027518509,4.869418140780852,2.4233497959086834,0.3464634998310641,84.10782062312308
14.0,50.99041965121793,4.493207555151535,2.4116823695367495,0.24486162692562002,83.41326253646294
14.5,55.62459375310085,2.7975263012626845,2.446060579995985,0.2427077783513905,75.98310646416854
15.0,50.97440081655905,6.730651071880911,2.418157739286481,0.2017301894933539,83.13699242810671
15.5,87.78417276763406,3.7312477981889245,2.4870508475668225,0.25119731912246307,81.08395638802247
16.0,59.79754162893099,5.213987806572603,2.4355924868788743,0.319347994513664,82.59914501335513
16.5,44.13433606566149,2.8041198423139533,2.4575237249386954,0.3017958104716017,76.57707190429335
17.0,72.33817368154783,3.14609531269622,2.4578817279220475,0.2927218875570278,80.64049442179493
17.5,41.68734525043467,6.893136592098074,2.4597477546206097,0.2773199475833636,75.91569249892521
18.0,63.132953925071334,4.038241453056623,2.4487935444772515,0.2320728736218695,69.26433950016984
18.5,30.604948141803366,6.930851261482882,2.475530034520516,0.1774918416481649,84.99152284289191
19.0,40.07720926652354,4.377732088527552,2.41021724330871,0.23994806140666824,72.48805509155241
19.5,62.952918538036855,2.579074640469537,2.519970896332694,0.23820642677331613,80.53593232391208
20.0,71.07699869993115,5.856898984090251,2.4381731308315735,0.30243972198356206,81.6650106472452
20.5,62.57052421784956,3.7547897989454992,2.384422543105066,0.265469522122991,81.63281507931528
21.0,58.265275764176394,5.526787055446712,2.459403667849589,0.3306155763951774,78.58460463200875
21.5,55.48344456616067,4.515713757781309,2.407440975877626,0.3098744270019087,81.35605737639986
22.0,37.82217014448859,2.8209241149845994,2.483266726725444,0.22717521952479522,82.3548353489258
22.5,49.20233687407937,4.7081188324231364,2.5604802788021193,0.16024354016900658,83.67482407875993
23.0,53.09041843560319,8.661318326154461,2.4106713954221077,0.31927876169707403,88.66720669692131
23.5,75.85683339328374,5.196035534245642,2.4666186166611994,0.31796926116153723,81.17097075749103
24.0,65.15427434352692,4.405019446841437,2.3622247205647686,0.18168942045488867,80.32024422508852
24.5,33.554397669558995,6.187944852023976,2.4726952614720674,0.325462000991375,75.46635517324953
25.0,64.86125954092192,4.774076440201829,2.4057143100100156,0.2691058585296259,82.17973161949668
25.5,54.22376579375525,4.7724522392594535,2.418758269078276,0.25803427490628267,83.33691551570284
26.0,49.84616999541062,3.230097906394003,2.394935675508009,0.33073916271236636,79.03848407859186
26.5,69.17514433261302,4.8073904347471546,2.486607561302737,0.31723425866153077,82.72306252092018
27.0,75.46499283743927,6.114316722307946,2.5003652178736635,0.2825665475997602,78.5374190322533
27.5,73.96920178674299,3.4874867727135825,2.4511692607329256,0.27366085329059914,83.35496326044462
28.0,47.41173715166042,6.8712685948737695,2.4067786647332143,0.28081971452651794,84.56301157014872
28.5,55.36181436223178,4.360070350892032,2.529476151805193,0.2299971283058737,84.49313933365242
29.0,64.96895147105346,3.4338055863763772,2.4124794936122673,0.24724492751338395,80.5892216307065
29.5,74.63317690683539,6.045351460528008,2.341898385003628,0.20488414227027285,74.80015924191474
30.0,52.81238643232065,4.112214656631304,2.4729194504978538,0.23334801121305407,76.94043473679089
30.5,57.215115350042744,5.628564668645766,2.3947612663179245,0.23166830606655334,82.97578661942364
31.0,43.40497538990958,4.1060948157204376,2.499430439674959,0.21823473151891676,92.24406152870114
31.5,42.05690063878994,4.401969951331972,2.4309431151663294,0.25683732513242313,78.29639614233959
32.0,72.18788733591298,5.1969299723206905,2.48018566202721,0.23380095746497115,82.27918839194069
32.5,80.34360042856234,4.890375633860926,2.520075017327608,0.2751117360175987,77.21973721260298
33.0,58.91984817629499,2.462902335922692,2.389557056768964,0.16888396933531175,75.13016477875449
33.5,75.05299346838036,3.201523780814195,2.42170314345538,0.244332260294635,76.61842068211318
34.0,65.42454037571451,5.922881056351841,2.446216446367147,0.25657758200887476,69.58764011648664
34.5,50.323203680923136,4.307505745819383,2.5268775659517173,0.23446853800815598,86.76717531453875
35.0,65.4209340826262,3.830060537366577,2.417080864102978,0.24138036500953844,68.84934873542693
35.5,83.07054849698955,2.981503774109519,2.42027481520255,0.17073769946350714,78.68085884799683
36.0,59.46260941335073,3.2416391216316014,2.4739070287777905,0.26782385523347463,74.10936052324973
36.5,83.4696548372101,2.4435707899127466,2.4211385637144716,0.2823802991283535,75.57809892318897
37.0,20.703823438653835,4.347564418007476,2.457626294144881,0.2746768647101884,86.88261329869334
37.5,72.32853756562835,3.7451764268232046,2.372423128951594,0.30193635297210913,81.00533495015696
38.0,61.30570602357257,3.353563905397021,2.56071649712783,0.2600764802891251,75.1730192040915
38.5,55.51488974301199,4.391026262078852,2.38261453848453,0.27393405903254686,77.05241433751745
39.0,61.37641164803254,4.998766536276908,2.4339123648004897,0.2578045369228426,76.17259389778957
39.5,30.186466280986608,8.397712771485455,2.4483759482078953,0.28437753597962473,79.7822716396056
40.0,56.70492168243732,2.847481655871341,2.54563440671784,0.17113851819339387,80.86445842393846
40.5,65.35668857267619,6.345934127777686,2.383757710953363,0.20532095160109945,89.4778738661428
41.0,82.16841067112274,6.001026082185852,2.5491852067739376,0.3293449828516546,70.41849617001147
41.5,52.22594672589529,3.547603049755356,2.4878588410551012,0.12697820889518974,79.82593842621024
42.0,47.87259595660218,4.76344328711224,2.4708547662211626,0.2429911035087328,78.42216153732738
42.5,52.47364434623195,3.9067664040379526,2.400768315649102,0.3086137479804034,84.73274263858391
43.0,73.73103176553111,4.738433397047977,2.478557062101904,0.24533696672291178,81.77409059089197
43.5,64.93126664489526,7.047967687725077,2.41382566887901,0.22974944642746511,82.95181104057473
44.0,52.05359694349442,5.374587730605816,2.5133330626599206,0.256471083840765,81.72543093007542
44.5,67.69901149670034,5.220444293500692,2.4014468985446134,0.23234399099987768,75.3400443735823
45.0,61.456163240220604,3.9389224813406236,2.444342075277196,0.25154247463784696,86.05632748246506
45.5,74.52967485799334,2.871352004408132,2.4222363455993414,0.2158309481739935,83.99252452307834
46.0,49.469203591839715,4.209986903314875,2.4006238518786502,0.3054337209977862,84.57764895862371
46.5,55.085067801033475,6.43648411693645,2.487065990845396,0.32116324605328306,86.32025085253582
47.0,54.118377703017636,2.8344548984776097,2.4767729373704817,0.24333048389441886,82.0883755032598
47.5,38.04727577801822,3.2656969129300286,2.5104505099450503,0.18067552896543781,87.40496202058746
48.0,64.44180415596864,4.65471330803599,2.361006244589592,0.22380784148433025,81.88819785893321
48.5,63.91582908269834,3.3354365306364833,2.5032085351170523,0.24080056699485178,78.90470705987696
49.0,60.07670184963691,3.533337762070962,2.575272445267845,0.2752769438451604,79.96698044758318
49.5,56.481192999372794,3.9468603923459624,2.4274179455411526,0.1995993388414661,79.88078115931941
50.0,38.769438869243785,2.9752104581862437,2.544757430605449,0.21154188406789246,77.40304338954729
50.5,53.69032015851961,3.3459927845945296,2.4368419363970086,0.2755338068929404,88.1594442418511
51.0,54.85928225209846,5.534650248177125,2.3813795131219346,0.2969454416019779,81.48147682751834
51.5,47.96584096167572,3.0276570371237908,2.4347183778796606,0.2189202977414658,80.47369237916453
52.0,57.580714325009865,2.7749656247704064,2.502410198383764,0.1833391473024502,81.94137127463217
52.5,66.06076285221808,3.709853938396287,2.4080911758834236,0.4142059100643942,94.89927258368573
53.0,88.29278851815795,5.582220580654076,2.419983067049676,0.28916521185443567,74.3413790570017
53.5,62.61866719247759,4.224595250833782,2.47967697161466,0.2366498119116484,75.77480744141862
54.0,63.86325586084146,3.8986318214208238,2.450153005836929,0.29345156377654197,73.09714491276502
54.5,58.883311263507494,4.541728376407142,2.479231147624337,0.24377716851427889,78.83700380782257
55.0,31.21843177051438,2.6545835041867107,2.4618914770379168,0.29335784445500934,81.22759221663681
55.5,59.602291868261744,5.198716125354423,2.473981265977579,0.2579696598888111,77.67338740829462
56.0,60.9034531491154,5.028041323758681,2.428384940709523,0.25456359490837865,77.30136600924115
56.5,96.94863168727929,3.963817031150075,2.4615865471015197,0.24432090658846056,80.71202433314066
57.0,57.114585528283165,6.060409387781298,2.4036313497152033,0.17763093332684549,77.4894608758515
57.5,64.52321013500419,3.1955242865502096,2.5144216811251696,0.346904744969657,81.55087913591419
58.0,59.47932345442135,6.286300224019201,2.4182862641591343,0.20292330398661282,85.57117173371302
58.5,42.46982943570702,4.6942957418764,2.5064423743774698,0.18199882118447025,83.38515234900403
